pokedex_number,name,classfication,type1,type2,generation,is_legendary,ability 1,ability 2,ability 3,ability 4,ability 5,ability 6,height_m,weight_kg,capture_rate,percentage_male,experience_growth,attack,defense,speed,hp,sp_attack,sp_defense,base_egg_steps,base_happiness,base_total,against_bug,against_dark,against_dragon,against_electric,against_fairy,against_fight,against_fire,against_flying,against_ghost,against_grass,against_ground,against_ice,against_normal,against_poison,against_psychic,against_rock,against_steel,against_water
107,Hitmonchan,Punching Pokemon,fighting,,1,0,Keen Eye,Iron Fist,Inner Focus,,,,1.4,50.2,45,100,1000000,105,79,76,50,35,110,6400,70,455,0.5,0.5,1,1,2,1,1,2,1,1,1,1,1,1,2,0.5,1,1
108,Lickitung,Licking Pokemon,normal,,1,0,Own Tempo,Oblivious,Cloud Nine,,,,1.2,65.5,45,50,1000000,55,75,30,90,60,75,5120,70,385,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
109,Koffing,Poison Gas Pokemon,poison,,1,0,Levitate,,,,,,0.6,1,190,50,1000000,65,95,35,40,60,45,5120,70,340,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
110,Weezing,Poison Gas Pokemon,poison,,1,0,Levitate,,,,,,1.2,9.5,60,50,1000000,90,120,60,65,85,70,5120,70,490,0.5,1,1,1,0.5,0.5,1,1,1,0.5,2,1,1,0.5,2,1,1,1
111,Rhyhorn,Spikes Pokemon,ground,rock,1,0,Lightningrod,Rock Head,Reckless,,,,1,115,120,50,1250000,85,95,25,80,30,30,5120,70,345,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
112,Rhydon,Drill Pokemon,ground,rock,1,0,Lightningrod,Rock Head,Reckless,,,,1.9,120,60,50,1250000,130,120,40,105,45,45,5120,70,485,1,1,1,0,1,2,0.5,0.5,1,4,2,2,0.5,0.25,1,0.5,2,4
113,Chansey,Egg Pokemon,normal,,1,0,Natural Cure,Serene Grace,Healer,,,,1.1,34.6,30,0,800000,5,5,50,250,35,105,10240,140,450,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
114,Tangela,Vine Pokemon,grass,,1,0,Chlorophyll,Leaf Guard,Regenerator,,,,1,35,45,50,1000000,55,115,60,65,100,40,5120,70,435,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
115,Kangaskhan,Parent Pokemon,normal,,1,0,Early Bird,Scrappy,Inner Focus,,,,2.2,80,45,0,1000000,125,100,100,105,60,100,5120,70,590,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
116,Horsea,Dragon Pokemon,water,,1,0,Swift Swim,Sniper,Damp,,,,0.4,8,225,50,1000000,40,70,60,30,70,25,5120,70,295,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
117,Seadra,Dragon Pokemon,water,,1,0,Poison Point,Sniper,Damp,,,,1.2,25,75,50,1000000,65,95,85,55,95,45,5120,70,440,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
118,Goldeen,Goldfish Pokemon,water,,1,0,Swift Swim,Water Veil,Lightningrod,,,,0.6,15,225,50,1000000,67,60,63,45,35,50,5120,70,320,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
119,Seaking,Goldfish Pokemon,water,,1,0,Swift Swim,Water Veil,Lightningrod,,,,1.3,39,60,50,1000000,92,65,68,80,65,80,5120,70,450,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
120,Staryu,Starshape Pokemon,water,,1,0,Illuminate,Natural Cure,Analytic,,,,0.8,34.5,225,,1250000,45,55,85,30,70,55,5120,70,340,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
121,Starmie,Mysterious Pokemon,water,psychic,1,0,Illuminate,Natural Cure,Analytic,,,,1.1,80,60,,1250000,75,85,115,60,100,85,5120,70,520,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
122,Mr. Mime,Barrier Pokemon,psychic,fairy,1,0,Soundproof,Filter,Technician,,,,1.3,54.5,45,50,1000000,45,65,90,40,100,120,6400,70,460,1,1,0,1,1,0.25,1,1,2,1,1,1,1,2,0.5,1,2,1
123,Scyther,Mantis Pokemon,bug,flying,1,0,Swarm,Technician,Steadfast,,,,1.5,56,45,50,1000000,110,80,105,70,55,80,6400,70,500,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
124,Jynx,Humanshape Pokemon,ice,psychic,1,0,Oblivious,Forewarn,Dry Skin,,,,1.4,40.6,45,0,1000000,50,35,95,65,115,95,6400,70,455,2,2,1,1,1,1,2,1,2,1,1,0.5,1,1,0.5,2,2,1
125,Electabuzz,Electric Pokemon,electric,,1,0,Static,Vital Spirit,,,,,1.1,30,45,75.4,1000000,83,57,105,65,95,85,6400,70,490,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
126,Magmar,Spitfire Pokemon,fire,,1,0,Flame Body,Vital Spirit,,,,,1.3,44.5,45,75.4,1000000,95,57,93,65,100,85,6400,70,495,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
127,Pinsir,Stagbeetle Pokemon,bug,,1,0,Hyper Cutter,Mold Breaker,Moxie,,,,1.5,55,45,50,1250000,155,120,105,65,65,90,6400,70,600,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
128,Tauros,Wild Bull Pokemon,normal,,1,0,Intimidate,Anger Point,Sheer Force,,,,1.4,88.4,45,100,1250000,100,95,110,75,40,70,5120,70,490,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
129,Magikarp,Fish Pokemon,water,,1,0,Swift Swim,Rattled,,,,,0.9,10,255,50,1250000,10,55,80,20,15,20,1280,70,200,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
130,Gyarados,Atrocious Pokemon,water,flying,1,0,Intimidate,Moxie,,,,,6.5,235,45,50,1250000,155,109,81,95,70,130,1280,70,640,0.5,1,1,4,1,0.5,0.5,1,1,1,0,1,1,1,1,2,0.5,0.5
131,Lapras,Transport Pokemon,water,ice,1,0,Water Absorb,Shell Armor,Hydration,,,,2.5,220,45,50,1250000,85,80,60,130,85,95,10240,70,535,1,1,1,2,1,2,1,1,1,2,1,0.25,1,1,1,2,1,0.5
132,Ditto,Transform Pokemon,normal,,1,0,Limber,Imposter,,,,,0.3,4,35,,1000000,48,48,48,48,48,48,5120,70,288,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
133,Eevee,Evolution Pokemon,normal,,1,0,Run Away,Adaptability,Anticipation,,,,0.3,6.5,45,88.1,1000000,55,50,55,55,45,65,8960,70,325,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
134,Vaporeon,Bubble Jet Pokemon,water,,1,0,Water Absorb,Hydration,,,,,1,29,45,88.1,1000000,65,60,65,130,110,95,8960,70,525,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
135,Jolteon,Lightning Pokemon,electric,,1,0,Volt Absorb,Quick Feet,,,,,0.8,24.5,45,88.1,1000000,65,60,130,65,110,95,8960,70,525,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
136,Flareon,Flame Pokemon,fire,,1,0,Flash Fire,Guts,,,,,0.9,25,45,88.1,1000000,130,60,65,65,95,110,8960,70,525,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
137,Porygon,Virtual Pokemon,normal,,1,0,Trace,Download,Analytic,,,,0.8,36.5,45,,1000000,60,70,40,65,85,75,5120,70,395,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
138,Omanyte,Spiral Pokemon,rock,water,1,0,Swift Swim,Shell Armor,Weak Armor,,,,0.4,7.5,45,88.1,1000000,40,100,35,35,90,55,7680,70,355,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
139,Omastar,Spiral Pokemon,rock,water,1,0,Swift Swim,Shell Armor,Weak Armor,,,,1,35,45,88.1,1000000,60,125,55,70,115,70,7680,70,495,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
140,Kabuto,Shellfish Pokemon,rock,water,1,0,Swift Swim,Battle Armor,Weak Armor,,,,0.5,11.5,45,88.1,1000000,80,90,55,30,55,45,7680,70,355,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
141,Kabutops,Shellfish Pokemon,rock,water,1,0,Swift Swim,Battle Armor,Weak Armor,,,,1.3,40.5,45,88.1,1000000,115,105,80,60,65,70,7680,70,495,1,1,1,2,1,2,0.25,0.5,1,4,2,0.5,0.5,0.5,1,1,1,1
142,Aerodactyl,Fossil Pokemon,rock,flying,1,0,Rock Head,Pressure,Unnerve,,,,1.8,59,45,88.1,1250000,135,85,150,80,70,95,8960,70,615,0.5,1,1,2,1,1,0.5,0.5,1,1,0,2,0.5,0.5,1,2,2,2
143,Snorlax,Sleeping Pokemon,normal,,1,0,Immunity,Thick Fat,Gluttony,,,,2.1,460,25,88.1,1250000,110,65,30,160,65,110,10240,70,540,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
144,Articuno,Freeze Pokemon,ice,flying,1,1,Pressure,Snow Cloak,,,,,1.7,55.4,3,,1250000,85,100,85,90,95,125,20480,35,580,0.5,1,1,2,1,1,2,1,1,0.5,0,1,1,1,1,4,2,1
145,Zapdos,Electric Pokemon,electric,flying,1,1,Pressure,Static,,,,,1.6,52.6,3,,1250000,90,85,100,90,125,90,20480,35,580,0.5,1,1,1,1,0.5,1,0.5,1,0.5,0,2,1,1,1,2,0.5,1
146,Moltres,Flame Pokemon,fire,flying,1,1,Pressure,Flame Body,,,,,2,60,3,,1250000,100,90,90,90,125,85,20480,35,580,0.25,1,1,2,0.5,0.5,0.5,1,1,0.25,0,1,1,1,1,4,0.5,2
147,Dratini,Dragon Pokemon,dragon,,1,0,Shed Skin,Marvel Scale,,,,,1.8,3.3,45,50,1250000,64,45,50,41,50,50,10240,35,300,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
148,Dragonair,Dragon Pokemon,dragon,,1,0,Shed Skin,Marvel Scale,,,,,4,16.5,45,50,1250000,84,65,70,61,70,70,10240,35,420,1,1,2,0.5,2,1,0.5,1,1,0.5,1,2,1,1,1,1,1,0.5
149,Dragonite,Dragon Pokemon,dragon,flying,1,0,Inner Focus,Multiscale,,,,,2.2,210,45,50,1250000,134,95,80,91,100,100,10240,35,600,0.5,1,2,1,2,0.5,0.5,1,1,0.25,0,4,1,1,1,2,1,0.5
150,Mewtwo,Genetic Pokemon,psychic,,1,1,Pressure,Unnerve,,,,,2,122,3,,1250000,150,70,140,106,194,120,30720,0,780,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
151,Mew,New Species Pokemon,psychic,,1,1,Synchronize,,,,,,0.4,4,45,,1059860,100,100,100,100,100,100,30720,100,600,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
152,Chikorita,Leaf Pokemon,grass,,2,0,Overgrow,Leaf Guard,,,,,0.9,6.4,45,88.1,1059860,49,65,45,45,49,65,5120,70,318,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
153,Bayleef,Leaf Pokemon,grass,,2,0,Overgrow,Leaf Guard,,,,,1.2,15.8,45,88.1,1059860,62,80,60,60,63,80,5120,70,405,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
154,Meganium,Herb Pokemon,grass,,2,0,Overgrow,Leaf Guard,,,,,1.8,100.5,45,88.1,1059860,82,100,80,80,83,100,5120,70,525,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
155,Cyndaquil,Fire Mouse Pokemon,fire,,2,0,Blaze,Flash Fire,,,,,0.5,7.9,45,88.1,1059860,52,43,65,39,60,50,5120,70,309,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
156,Quilava,Volcano Pokemon,fire,,2,0,Blaze,Flash Fire,,,,,0.9,19,45,88.1,1059860,64,58,80,58,80,65,5120,70,405,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
157,Typhlosion,Volcano Pokemon,fire,,2,0,Blaze,Flash Fire,,,,,1.7,79.5,45,88.1,1059860,84,78,100,78,109,85,5120,70,534,0.5,1,1,1,0.5,1,0.5,1,1,0.5,2,0.5,1,1,1,2,0.5,2
158,Totodile,Big Jaw Pokemon,water,,2,0,Torrent,Sheer Force,,,,,0.6,9.5,45,88.1,1059860,65,64,43,50,44,48,5120,70,314,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
159,Croconaw,Big Jaw Pokemon,water,,2,0,Torrent,Sheer Force,,,,,1.1,25,45,88.1,1059860,80,80,58,65,59,63,5120,70,405,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
160,Feraligatr,Big Jaw Pokemon,water,,2,0,Torrent,Sheer Force,,,,,2.3,88.8,45,88.1,1059860,105,100,78,85,79,83,5120,70,530,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
161,Sentret,Scout Pokemon,normal,,2,0,Run Away,Keen Eye,Frisk,,,,0.8,6,255,50,1000000,46,34,20,35,35,45,3840,70,215,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
162,Furret,Long Body Pokemon,normal,,2,0,Run Away,Keen Eye,Frisk,,,,1.8,32.5,90,50,1000000,76,64,90,85,45,55,3840,70,415,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
163,Hoothoot,Owl Pokemon,normal,flying,2,0,Insomnia,Keen Eye,Tinted Lens,,,,0.7,21.2,255,50,1000000,30,30,50,60,36,56,3840,70,262,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
164,Noctowl,Owl Pokemon,normal,flying,2,0,Insomnia,Keen Eye,Tinted Lens,,,,1.6,40.8,90,50,1000000,50,50,70,100,86,96,3840,70,452,0.5,1,1,2,1,1,1,1,0,0.5,0,2,1,1,1,2,1,1
165,Ledyba,Five Star Pokemon,bug,flying,2,0,Swarm,Early Bird,Rattled,,,,1,10.8,255,50,800000,20,30,55,40,40,80,3840,70,265,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
166,Ledian,Five Star Pokemon,bug,flying,2,0,Swarm,Early Bird,Iron Fist,,,,1.4,35.6,90,50,800000,35,50,85,55,55,110,3840,70,390,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
167,Spinarak,String Spit Pokemon,bug,poison,2,0,Swarm,Insomnia,Sniper,,,,0.5,8.5,255,50,800000,60,40,30,40,40,40,3840,70,250,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
168,Ariados,Long Leg Pokemon,bug,poison,2,0,Swarm,Insomnia,Sniper,,,,1.1,33.5,90,50,800000,90,70,40,70,60,70,3840,70,400,0.5,1,1,1,0.5,0.25,2,2,1,0.25,1,1,1,0.5,2,2,1,1
169,Crobat,Bat Pokemon,poison,flying,2,0,Inner Focus,Infiltrator,,,,,1.8,75,90,50,1000000,90,80,130,85,70,80,3840,70,535,0.25,1,1,2,0.5,0.25,1,1,1,0.25,0,2,1,0.5,2,2,1,1
170,Chinchou,Angler Pokemon,water,electric,2,0,Volt Absorb,Illuminate,Water Absorb,,,,0.5,12,190,50,1250000,38,38,67,75,56,56,5120,70,330,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
171,Lanturn,Light Pokemon,water,electric,2,0,Volt Absorb,Illuminate,Water Absorb,,,,1.2,22.5,75,50,1250000,58,58,67,125,76,76,5120,70,460,1,1,1,1,1,1,0.5,0.5,1,2,2,0.5,1,1,1,1,0.25,0.5
172,Pichu,Tiny Mouse Pokemon,electric,,2,0,Static,Lightningrod,,,,,0.3,2,190,50,1000000,40,15,60,20,35,35,2560,70,205,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
173,Cleffa,Star Shape Pokemon,fairy,,2,0,Cute Charm,Magic Guard,Friend Guard,,,,0.3,3,150,24.6,800000,25,28,15,50,45,55,2560,140,218,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
174,Igglybuff,Balloon Pokemon,normal,fairy,2,0,Cute Charm,Competitive,Friend Guard,,,,0.3,1,170,24.6,800000,30,15,15,90,40,20,2560,70,210,0.5,0.5,0,1,1,1,1,1,0,1,1,1,1,2,1,1,2,1
175,Togepi,Spike Ball Pokemon,fairy,,2,0,Hustle,Serene Grace,Super Luck,,,,0.3,1.5,190,88.1,800000,20,65,20,35,40,65,2560,70,245,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
176,Togetic,Happiness Pokemon,fairy,flying,2,0,Hustle,Serene Grace,Super Luck,,,,0.6,3.2,75,88.1,800000,40,85,40,55,80,105,2560,70,405,0.25,0.5,0,2,1,0.25,1,1,1,0.5,0,2,1,2,1,2,2,1
177,Natu,Little Bird Pokemon,psychic,flying,2,0,Synchronize,Early Bird,Magic Bounce,,,,0.2,2,190,50,1000000,50,45,70,40,70,45,5120,70,320,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
178,Xatu,Mystic Pokemon,psychic,flying,2,0,Synchronize,Early Bird,Magic Bounce,,,,1.5,15,75,50,1000000,75,70,95,65,95,70,5120,70,470,1,2,1,2,1,0.25,1,1,2,0.5,0,2,1,1,0.5,2,1,1
179,Mareep,Wool Pokemon,electric,,2,0,Static,Plus,,,,,0.6,7.8,235,50,1059860,40,40,35,55,65,45,5120,70,280,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
180,Flaaffy,Wool Pokemon,electric,,2,0,Static,Plus,,,,,0.8,13.3,120,50,1059860,55,55,45,70,80,60,5120,70,365,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
181,Ampharos,Light Pokemon,electric,,2,0,Static,Plus,,,,,1.4,61.5,45,50,1059860,95,105,45,90,165,110,5120,70,610,1,1,1,0.5,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1
182,Bellossom,Flower Pokemon,grass,,2,0,Chlorophyll,Healer,,,,,0.4,5.8,45,50,1059860,80,95,50,75,90,100,5120,70,490,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
183,Marill,Aquamouse Pokemon,water,fairy,2,0,Thick Fat,Huge Power,Sap Sipper,,,,0.4,8.5,190,50,800000,20,50,40,70,20,50,2560,70,250,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
184,Azumarill,Aquarabbit Pokemon,water,fairy,2,0,Thick Fat,Huge Power,Sap Sipper,,,,0.8,28.5,75,50,800000,50,80,50,100,60,80,2560,70,420,0.5,0.5,0,2,1,0.5,0.5,1,1,2,1,0.5,1,2,1,1,1,0.5
185,Sudowoodo,Imitation Pokemon,rock,,2,0,Sturdy,Rock Head,Rattled,,,,1.2,38,65,50,1000000,100,115,30,70,30,65,5120,70,410,1,1,1,1,1,2,0.5,0.5,1,2,2,1,0.5,0.5,1,1,2,2
186,Politoed,Frog Pokemon,water,,2,0,Water Absorb,Damp,Drizzle,,,,1.1,33.9,45,50,1059860,75,75,70,90,90,100,5120,70,500,1,1,1,2,1,1,0.5,1,1,2,1,0.5,1,1,1,1,0.5,0.5
187,Hoppip,Cottonweed Pokemon,grass,flying,2,0,Chlorophyll,Leaf Guard,Infiltrator,,,,0.4,0.5,255,50,1059860,35,40,50,35,35,55,5120,70,250,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
188,Skiploom,Cottonweed Pokemon,grass,flying,2,0,Chlorophyll,Leaf Guard,Infiltrator,,,,0.6,1,120,50,1059860,45,50,80,55,45,65,5120,70,340,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
189,Jumpluff,Cottonweed Pokemon,grass,flying,2,0,Chlorophyll,Leaf Guard,Infiltrator,,,,0.8,3,45,50,1059860,55,70,110,75,55,95,5120,70,460,1,1,1,1,1,0.5,2,2,1,0.25,0,4,1,2,1,2,1,0.5
190,Aipom,Long Tail Pokemon,normal,,2,0,Run Away,Pickup,Skill Link,,,,0.8,11.5,45,50,800000,70,55,85,55,40,55,5120,70,360,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
191,Sunkern,Seed Pokemon,grass,,2,0,Chlorophyll,Solar Power,Early Bird,,,,0.3,1.8,235,50,1059860,30,30,30,30,30,30,5120,70,180,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
192,Sunflora,Sun Pokemon,grass,,2,0,Chlorophyll,Solar Power,Early Bird,,,,0.8,8.5,120,50,1059860,75,55,30,75,105,85,5120,70,425,2,1,1,0.5,1,1,2,2,1,0.5,0.5,2,1,2,1,1,1,0.5
193,Yanma,Clear Wing Pokemon,bug,flying,2,0,Speed Boost,Compoundeyes,Frisk,,,,1.2,38,75,50,1000000,65,45,95,65,75,45,5120,70,390,0.5,1,1,2,1,0.25,2,2,1,0.25,0,2,1,1,1,4,1,1
194,Wooper,Water Fish Pokemon,water,ground,2,0,Damp,Water Absorb,Unaware,,,,0.4,8.5,255,50,1000000,45,45,15,55,25,25,5120,70,210,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
195,Quagsire,Water Fish Pokemon,water,ground,2,0,Damp,Water Absorb,Unaware,,,,1.4,75,90,50,1000000,85,85,35,95,65,65,5120,70,430,1,1,1,0,1,1,0.5,1,1,4,1,1,1,0.5,1,0.5,0.5,1
196,Espeon,Sun Pokemon,psychic,,2,0,Synchronize,Magic Bounce,,,,,0.9,26.5,45,88.1,1000000,65,60,110,65,130,95,8960,70,525,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
197,Umbreon,Moonlight Pokemon,dark,,2,0,Synchronize,Inner Focus,,,,,1,27,45,88.1,1000000,65,110,65,95,60,130,8960,35,525,2,0.5,1,1,2,2,1,1,0.5,1,1,1,1,1,0,1,1,1
198,Murkrow,Darkness Pokemon,dark,flying,2,0,Insomnia,Super Luck,Prankster,,,,0.5,2.1,30,50,1059860,85,42,91,60,85,42,5120,35,405,1,0.5,1,2,2,1,1,1,0.5,0.5,0,2,1,1,0,2,1,1
199,Slowking,Royal Pokemon,water,psychic,2,0,Oblivious,Own Tempo,Regenerator,,,,2,79.5,70,50,1000000,75,80,30,95,100,110,5120,70,490,2,2,1,2,1,0.5,0.5,1,2,2,1,0.5,1,1,0.5,1,0.5,0.5
200,Misdreavus,Screech Pokemon,ghost,,2,0,Levitate,,,,,,0.7,1,45,50,800000,60,60,85,60,85,85,6400,35,435,0.5,2,1,1,1,0,1,1,2,1,1,1,0,0.5,1,1,1,1
201,Unown,Symbol Pokemon,psychic,,2,0,Levitate,,,,,,0.5,5,225,,1000000,72,48,48,48,72,48,10240,70,336,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
202,Wobbuffet,Patient Pokemon,psychic,,2,0,Shadow Tag,Telepathy,,,,,1.3,28.5,45,50,1000000,33,58,33,190,33,58,5120,70,405,2,2,1,1,1,0.5,1,1,2,1,1,1,1,1,0.5,1,1,1
203,Girafarig,Long Neck Pokemon,normal,psychic,2,0,Inner Focus,Early Bird,Sap Sipper,,,,1.5,41.5,60,50,1000000,80,65,85,70,90,65,5120,70,455,2,2,1,1,1,1,1,1,0,1,1,1,1,1,0.5,1,1,1
204,Pineco,Bagworm Pokemon,bug,,2,0,Sturdy,Overcoat,,,,,0.6,7.2,190,50,1000000,65,90,15,50,35,35,5120,70,290,1,1,1,1,1,0.5,2,2,1,0.5,0.5,1,1,1,1,2,1,1
205,Forretress,Bagworm Pokemon,bug,steel,2,0,Sturdy,Overcoat,,,,,1.2,125.8,75,50,1000000,90,140,40,75,60,60,5120,70,465,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
206,Dunsparce,Land Snake Pokemon,normal,,2,0,Serene Grace,Run Away,Rattled,,,,1.5,14,190,50,1000000,70,70,45,100,65,65,5120,70,415,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
207,Gligar,Flyscorpion Pokemon,ground,flying,2,0,Hyper Cutter,Sand Veil,Immunity,,,,1.1,64.8,60,50,1059860,75,105,85,65,35,65,5120,70,430,0.5,1,1,0,1,0.5,1,1,1,1,0,4,1,0.5,1,1,1,2
208,Steelix,Iron Snake Pokemon,steel,ground,2,0,Rock Head,Sturdy,Sheer Force,,,,9.2,400,25,50,1000000,125,230,30,75,55,95,6400,70,610,0.5,1,0.5,0,0.5,2,2,0.5,1,1,2,1,0.5,0,0.5,0.25,0.5,2
209,Snubbull,Fairy Pokemon,fairy,,2,0,Intimidate,Run Away,Rattled,,,,0.6,7.8,190,24.6,800000,80,50,30,60,40,40,5120,70,300,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
210,Granbull,Fairy Pokemon,fairy,,2,0,Intimidate,Quick Feet,Rattled,,,,1.4,48.7,75,24.6,800000,120,75,45,90,60,60,5120,70,450,0.5,0.5,0,1,1,0.5,1,1,1,1,1,1,1,2,1,1,2,1
211,Qwilfish,Balloon Pokemon,water,poison,2,0,Poison Point,Swift Swim,Intimidate,,,,0.5,3.9,45,50,1000000,95,85,85,65,55,55,5120,70,440,0.5,1,1,2,0.5,0.5,0.5,1,1,1,2,0.5,1,0.5,2,1,0.5,0.5
212,Scizor,Pincer Pokemon,bug,steel,2,0,Swarm,Technician,Light Metal,,,,1.8,118,25,50,1000000,150,140,75,70,65,100,6400,70,600,0.5,1,0.5,1,0.5,1,4,1,1,0.25,1,0.5,0.5,0,0.5,1,0.5,1
213,Shuckle,Mold Pokemon,bug,rock,2,0,Sturdy,Gluttony,Contrary,,,,0.6,20.5,190,50,1059860,10,230,5,20,10,230,5120,70,505,1,1,1,1,1,1,1,1,1,1,1,1,0.5,0.5,1,2,2,2
214,Heracross,Singlehorn Pokemon,bug,fighting,2,0,Swarm,Guts,Moxie,,,,1.5,54,45,50,1250000,185,115,75,80,40,105,6400,70,600,0.5,0.5,1,1,2,0.5,2,4,1,0.5,0.5,1,1,1,2,1,1,1
215,Sneasel,Sharp Claw Pokemon,dark,ice,2,0,Inner Focus,Keen Eye,Pickpocket,,,,0.9,28,60,50,1059860,95,55,115,55,35,75,5120,35,430,2,0.5,1,1,2,4,2,1,0.5,1,1,0.5,1,1,0,2,2,1
216,Teddiursa,Little Bear Pokemon,normal,,2,0,Pickup,Quick Feet,Honey Gather,,,,0.6,8.8,120,50,1000000,80,50,40,60,50,50,5120,70,330,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
217,Ursaring,Hibernator Pokemon,normal,,2,0,Guts,Quick Feet,Unnerve,,,,1.8,125.8,60,50,1000000,130,75,55,90,75,75,5120,70,500,1,1,1,1,1,2,1,1,0,1,1,1,1,1,1,1,1,1
